"x" "Density" "Velocity" "TotalEnergy" "Temperature" "H2" "H" "O" "O2" "OH" "H2O" "HO2" "H2O2" "AR" "N2"
0.00645 0.175448 -781.673 109626 2870.12 0.00214888 0.000517632 0.00336363 0.0122305 0.0118349 0.0840435 2.41817e-06 1.55972e-07 0.885858 0
0.00655 0.175459 -781.643 109634 2870.05 0.00214905 0.000517744 0.0033643 0.0122318 0.0118354 0.0840407 2.41798e-06 1.56029e-07 0.885858 0
0.00665 0.175469 -781.613 109642 2869.97 0.00214922 0.000517856 0.00336497 0.0122331 0.0118359 0.084038 2.41778e-06 1.56087e-07 0.885858 0
0.00675 0.17548 -781.582 109650 2869.9 0.00214938 0.000517968 0.00336564 0.0122344 0.0118364 0.0840352 2.41759e-06 1.56145e-07 0.885858 0
0.00685 0.175491 -781.55 109658 2869.82 0.00214955 0.000518081 0.00336632 0.0122357 0.0118369 0.0840325 2.41739e-06 1.56204e-07 0.885858 0
0.00695 0.175503 -781.518 109666 2869.75 0.00214971 0.000518195 0.003367 0.012237 0.0118373 0.0840297 2.41719e-06 1.56264e-07 0.885858 0
0.00705 0.175514 -781.485 109674 2869.67 0.00214988 0.000518309 0.00336768 0.0122383 0.0118378 0.0840269 2.41699e-06 1.56323e-07 0.885858 0
0.00715 0.175525 -781.452 109682 2869.59 0.00215005 0.000518424 0.00336837 0.0122396 0.0118383 0.0840241 2.41678e-06 1.56384e-07 0.885858 0
0.00725 0.175537 -781.419 109690 2869.52 0.00215022 0.000518539 0.00336906 0.012241 0.0118388 0.0840213 2.41658e-06 1.56444e-07 0.885858 0
0.00735 0.175549 -781.384 109698 2869.44 0.00215039 0.000518655 0.00336975 0.0122423 0.0118393 0.0840185 2.41637e-06 1.56506e-07 0.885858 0
0.00745 0.175561 -781.35 109706 2869.36 0.00215056 0.000518772 0.00337045 0.0122437 0.0118398 0.0840156 2.41617e-06 1.56568e-07 0.885858 0
0.00755 0.175573 -781.314 109714 2869.28 0.00215074 0.000518891 0.00337116 0.0122451 0.0118403 0.0840128 2.41596e-06 1.5663e-07 0.885858 0
0.00765 0.175586 -781.278 109722 2869.2 0.00215091 0.00051901 0.00337187 0.0122464 0.0118409 0.0840099 2.41575e-06 1.56693e-07 0.885858 0
0.00775 0.175598 -781.242 109731 2869.12 0.00215109 0.00051913 0.0033726 0.0122478 0.0118414 0.0840069 2.41554e-06 1.56757e-07 0.885858 0
0.00785 0.175611 -781.204 109739 2869.04 0.00215127 0.000519252 0.00337332 0.0122492 0.0118419 0.084004 2.41533e-06 1.56821e-07 0.885858 0
0.00795 0.175624 -781.167 109748 2868.96 0.00215145 0.000519375 0.00337406 0.0122507 0.0118425 0.084001 2.41513e-06 1.56885e-07 0.885858 0
